id,postid,ticker,text,target_context,label,label_pred,score_pred,bucket,notes,label2
11,35445949,BBCA,$BBCA uhuyyy ARA KAN DAARRRR,uhuyyy ara kan daarrrr,bullish,bullish,1.0,bull_bear,,
12,35446353,BBCA,$BBCA weeiiiii Kinggggg... gilaaa luuu... blom bayar deviden uda lu naikinn... double gain lahh udah.. apa lagiii,weeiiiii kinggggg gilaaa luuu blom bayar deviden uda lu naikinn double gain lahh udah apa lagiii,bullish,neutral,0.0,no_hit,puji: naikin sebelum dividen,bullish
13,35459407,INCO,"Saham $INCO
100 % produksi nikel
harga nikel kembali turum tipis 0,5 %
apakah hari ini masih nsik ? 

klo lihat broksumnya masih bagus
hari ini IHSG berpeluang masih nsik
masih ada peluang menguji dulu MA200 = 5400
sebslum koreksi

secara gambaran besar 
gak bagusnya garis uptrend support sdh patah
dan sekarang menjadi resistance baru

jika hari ini gak naik
maka akan menguji beberapa support
4880
4740
4620
4660

Sedang target ke atasnya
5050
5210
5325
5425

warramt $INCOZPCX6A
Pengungkit = 4,5x
now = 9 = 4950 = 9

4460 = 5
4620 = 6
4740 = 7
4880 = 8
4950 = 9
5050 = 10
5210 = 11
5325 = 12
5425 = 13",saham 100 produksi nikel harga nikel kembali turum tipis 0 5 apakah hari ini masih nsik klo lihat broksumnya masih bagus hari ini ihsg berpeluang masih nsik masih ada peluang menguji dulu ma200 5400 sebslum koreksi secara gambaran besar gak bagusnya garis uptrend support sdh patah dan sekarang menjadi resistance baru jika hari ini gak naik maka akan menguji beberapa support 4880 4740 4620 4660 sedang target ke atasnya 5050 5210 5325 5425 warramt,bearish,bearish,-1.0,negation,,
14,35465601,TLKM,"$TLKM waduh2 siapa tunyg buat Pagar 2630 setebel itu.
kyak ya kalo ga naik cuma 10 poin paling runtuh lagi ke bwh 😄
kgak senang amat kalo TLKM ini terbang ke 3000",waduh2 siapa tunyg buat pagar 2630 setebel itu kyak ya kalo ga naik cuma 10 poin paling runtuh lagi ke bwh kgak senang amat kalo tlkm ini terbang ke 3000,mixed,bearish,-1.0,negation,takut runtuh + harap terbang 3000,
15,35468635,ADRO,"📊 JURNAL MARKET HARIAN – Kamis, 4 September 2026

1️⃣ MARKET OVERVIEW (TOP DOWN)

IHSG ditutup naik 1,09% ke 6.667,89 pada Kamis 3/9, kenaikan harian terbaik di bursa Asia hari itu. Asing net buy Rp1,11 triliun, konsisten sepanjang minggu ini terutama di saham-saham bank BUMN. Rupiah menguat 1,9% ke Rp17.615/USD, jadi salah satu pendorong utama karena porsi saham blue chip market cap besar ikut terangkat.

Money flow asing/bandar: terkonsentrasi di BMRI (net buy terbesar dalam sehari sepanjang 2026, sekitar Rp471 miliar–Rp1,76 triliun tergantung sesi), BBCA, CPIN, ANTM, ADRO. Sementara BUMI dan BRMS masih kena distribusi asing.

Sektor dominan: perbankan BUMN (rotasi dari BBRI/BBNI yang sudah naik tinggi ke BMRI yang masih tertinggal), energi/batu bara (didorong reli harga komoditas), dan poultry (CPIN breakout resistance).

Sentimen makro: dua sisi. Positif — neraca dagang & inflasi domestik bagus awal September, RAPBN 2027 target pertumbuhan 6% sudah disepakati, downgrade outlook S&P sudah lewat, pelantikan Gubernur BI Destry Damayanti dinilai memberi sinyal kesinambungan kebijakan. Negatif — yield obligasi global melonjak tajam serentak (US 10Y +4,8% ke level tertinggi sejak awal 2025, Jepang 30Y +3% tertinggi 3 dekade, UK +5,25% tertinggi 18 tahun, Jerman +3,37% tertinggi 15 tahun, Indonesia +3% dalam sehari ke 7,2%), yang secara historis memicu capital outflow dari emerging market termasuk Indonesia. Ditambah ketegangan geopolitik AS-Iran yang masih on-off dan menekan harga minyak, serta penantian data Nonfarm Payrolls AS (Jumat ini) dan FOMC 17 September.

Risk level market: Sedang. Momentum teknikal dan akumulasi asing domestik masih solid, tapi risiko global (yield spike, NFP, geopolitik) bisa memicu koreksi tajam kalau salah satu faktor itu mengejutkan pasar.

2️⃣ SEKTOR & NARASI BESAR

Perbankan BUMN — fase rotasi/akumulasi lanjutan. BBRI dan BBNI sudah naik 32-34% dari bottom Juni, mulai kemahalan untuk entry baru dan BBRI gagal breakout resistance-nya hari ini. BMRI justru baru mulai bergerak dari MA50, dengan akumulasi asing terbesar hari itu — pola klasik ""saham laggard yang menyusul"" ketika saham leader sektornya sudah terlalu tinggi.

Batu bara — fase breakout structure. Harga batu bara Newcastle naik ~15% dalam sebulan, menyentuh level tertinggi 2 bulan, didorong faktor El Nino (ganggu distribusi kapal), restocking China & India (produksi batu bara China turun ke level terendah hampir 5 tahun), serta kebutuhan musim dingin Eropa. PTBA, ADRO, AADI, DSSA, CUAN semua breakout resistance dengan volume institusi besar. Risikonya: reli ini banyak ditopang sentimen geopolitik minyak yang sifatnya belum tentu permanen.

Bakrie Group (BUMI, BRMS, ENRG) — masih sideways/distribusi, spekulatif. Ada isu buyback 62% saham Bumi Resources oleh Haji Isam yang jadi katalis tersendiri, tapi bid-nya kecil. Bukan fase akumulasi yang solid, lebih ke watch-list.

Poultry — CPIN breakout MA50 dan resistance 3.120 dengan volume dan net buy asing besar, jadi top gainer LQ45 hari itu.

Energi migas & tema kunjungan Prabowo-Putin — ENRG, PGEO, TLKM, ISAT disebut berpotensi diuntungkan dari pembahasan kerja sama energi, nuklir, dan teknologi digital. Tapi ini masih tema naratif/katalis, belum terkonfirmasi kuat secara teknikal — perlu dipantau lanjut, belum layak masuk top ranking.

3️⃣ RINGKASAN SAHAM YANG BANYAK DIBICARAKAN

BMRI — Trend Structure: baru breakout dari sideways MA50, masih paling tertinggal di antara big banks. Valuasi: PER ~6,5x, masih moderat dibanding BBCA/BBRI. Money Flow: net buy asing terbesar di antara semua saham hari itu. Katalis: rotasi sektor perbankan, rupiah menguat, ROE 22%+. Risiko: laju kenaikan bisa tertahan kalau yield global terus naik dan asing balik keluar dari EM. Bias: Bullish.

BBCA — Trend Structure: breakout tipis di atas 6.725, masih dalam uptrend. Valuasi: relatif mahal dibanding BMRI. Money Flow: net buy asing konsisten (~Rp207-316 miliar per hari). Katalis: rotasi bank BUMN + swasta blue chip. Risiko: sudah naik cukup jauh, ruang upside lebih terbatas dibanding BMRI. Bias: Bullish.

BBRI — Trend Structure: sudah naik 32%+ dari bottom Juni, gagal breakout resistance, gap sudah tertutup. Valuasi: mulai mahal untuk entry baru. Money Flow: net buy menipis (indikasi sebagian sudah profit taking). Katalis: rotasi sektor. Risiko: rawan koreksi/profit taking jangka pendek. Bias: Neutral (hold, bukan entry baru).

BBNI — Trend Structure: breakout di atas 3.900-3.990 setelah sideways sebulan lebih. Valuasi: sudah naik 32% dari bottom. Money Flow: net buy asing cukup besar hari itu. Katalis: rotasi sektor. Risiko: mendekati resistance psikologis 4.000. Bias: Bullish terbatas (tunggu konfirmasi breakout 4.000).

PTBA — Trend Structure: breakout kuat di atas 2.850 (resistance jadi support), candle hijau berturut-turut. Valuasi: didukung earnings solid. Money Flow: top gainer LQ45, volume besar. Katalis: reli harga batu bara global yang masih berlanjut. Risiko: sudah naik tinggi dalam waktu singkat, rawan normal correction ke area support. Bias: Bullish.

ADRO (Alamtri) — Trend Structure: re-akumulasi setelah sempat kena ""gocekan"" turun beberapa hari lalu, breakout struktur higher-low. Valuasi: menarik untuk swing dengan R:R sekitar 1:2. Money Flow: net buy asing kembali besar setelah net sell kemarin. Katalis: reli harga batu bara. Risiko: gap down lama yang belum tertutup, indikasi volatilitas swing masih tinggi. Bias: Bullish.

AADI — Trend Structure: breakout dari sideways lama, sudah naik signifikan dari harga bottom. Valuasi: sektor coal spin-off, masih relatif likuid untuk swing. Money Flow: institusi besar masuk, bukan sekadar ritel. Katalis: sama seperti PTBA/ADRO — reli harga batu bara. Risiko: sudah masuk fase kenaikan lanjutan (anak tangga ke-4), risiko lebih tinggi untuk entry baru. Bias: Bullish terbatas — tunggu retracement.

CUAN — Trend Structure: strong bullish berkelanjutan, tapi area saat ini nanggung karena dekat resistance/pucuk sebelumnya. Valuasi: tidak murah lagi, sudah dalam fase markup lanjutan. Money Flow: broker besar masih ada yang keluar, distribusi tipis. Katalis: tema komoditas & tambang. Risiko: rawan koreksi wajar karena sudah hijau berturut-turut tanpa jeda. Bias: Neutral (hold, hati-hati entry baru).

DSSA — Trend Structure: strong bullish, tapi area sangat nanggung/pucuk. Valuasi: mahal untuk level saat ini. Money Flow: campuran — ada distribusi dari satu broker besar, tapi broker lain re-entry. Katalis: tema batu bara & energi grup Sinar Mas. Risiko: berpotensi koreksi ke area support 1.150–1.090 sebelum lanjut naik. Bias: Neutral-Bullish (tunggu retracement).

BUMI — Trend Structure: masih sideways, belum breakout jelas. Valuasi: spekulatif, terkait sentimen grup Bakrie. Money Flow: masih net sell/distribusi asing. Katalis: isu buyback 62% saham oleh Haji Isam. Risiko: bid buyback kecil, momentum belum solid. Bias: Neutral (watchlist, bukan entry).

BRMS — Trend Structure: sideways setelah profit taking dari swing sebelumnya. Valuasi: spekulatif (tambang emas). Money Flow: masih net sell asing. Katalis: sentimen emas & grup Bakrie. Risiko: momentum belum terkonfirmasi ulang. Bias: Neutral (watchlist).

ANTM — Trend Structure: masih sideways, pola Bollinger Band mulai menyempit (potensi breakout dua arah). Valuasi: menarik — utang sangat rendah (DER 0,04), cash besar. Money Flow: net buy asing hari itu (+3,9%). Katalis: tema emas & nikel BUMN. Risiko: history saham BUMN rawan sentimen negatif mendadak. Bias: Neutral-Bullish (tunggu breakout upper band ~3.220).

ERAA (Erajaya) — Trend Structure: naik tajam 14%+ pasca cum dividen, area sangat ekstensi. Valuasi: murah secara rasio (PER ~6x, PBV ~1x), tapi kuartal terakhir stagnan. Money Flow: akumulasi asing, distribusi ritel. Katalis: dividen + capital gain momentum. Risiko: sangat rawan profit taking karena naik terlalu cepat dalam sehari. Bias: Avoid untuk entry baru — tunggu retracement signifikan.

4️⃣ TOP RANKING BULLISH POTENTIAL (SWING–MID TERM)

#1 – $BMRI (Bank Mandiri)
Alasan: satu-satunya big bank BUMN yang belum breakout jauh dari MA50 sementara BBRI, BBNI, BBCA sudah lebih dulu bergerak — klasik pola rotasi ""laggard menyusul"". Net buy asing hari itu terbesar sepanjang 2026 untuk saham ini. Struktur teknikal breakout dari sideways dengan resistance terdekat di 4.520, dan jika tembus, ruang menuju 4.730–4.880 masih terbuka. Fundamental didukung ROE di atas 20% dan valuasi PER ~6,5x yang masih tergolong moderat. Risk/reward menarik karena support di 4.320 relatif tidak jauh dari harga saat ini.

#2 – $PTBA (Bukit Asam)
Alasan: breakout kuat di atas 2.850 yang langsung menjadi support baru, didukung reli harga batu bara global (+15% sebulan) akibat kombinasi faktor cuaca, restocking China-India, dan musim dingin Eropa. Volume institusi besar mengonfirmasi ini bukan sekadar spekulasi ritel. Risikonya normal correction jangka pendek karena kenaikan sudah signifikan, tapi selama bertahan di atas 2.830 struktur bullish masih valid dengan potensi lanjutan ke 2.960 dan seterusnya.

#3 – $ADRO (Alamtri/Adaro)
Alasan: re-akumulasi asing yang kuat setelah shakeout ritel beberapa hari sebelumnya — pola klasik ""gocekan asing"" untuk kumpulkan barang di harga bawah. Risk/reward tergolong baik (sekitar 1:2) dengan support di 2.650 dan target bertahap ke 2.960–2.970. Katalis sama dengan PTBA yaitu reli harga batu bara, dengan tambahan bahwa gap down lama yang belum tertutup memberi ruang upside tambahan jika tren berlanjut.

#4 – CPIN (Charoen Pokphand)
Alasan: breakout resistance 3.120/MA50 dengan volume dan net buy asing besar, menjadikannya top gainer LQ45. Sektor poultry jarang jadi sorotan bandarmology sebesar ini, jadi ketika terjadi, biasanya menandakan minat institusi yang genuine, bukan sekadar euforia sesaat.

#5 – BBCA (Bank Central Asia)
Alasan: bagian dari tema rotasi perbankan yang sama dengan BMRI, dengan breakout tipis di atas 6.725 dan net buy asing konsisten harian. Valuasinya memang sudah lebih mahal dibanding BMRI sehingga ruang upside secara persentase lebih terbatas, tapi historically BBCA salah satu yang paling konsisten diakumulasi ketika asing kembali ke Indonesia.

5️⃣ STRATEGI PRAKTIS SAYA

Skenario terbaik: yield obligasi global mereda, data NFP Jumat ini tidak terlalu kuat (mendukung The Fed lebih dovish), asing terus masuk ke saham-saham fundamental bagus. IHSG bisa menutup gap ke 6.733–6.858 dan rotasi dari big bank leader ke laggard (BMRI) serta sektor komoditas terus berlanjut.

Skenario terburuk: yield global terus naik tajam memicu capital outflow dari emerging market, ditambah data NFP yang kuat membuat ekspektasi suku bunga The Fed naik. IHSG bisa terkoreksi ke area support 6.551–6.454, dan saham-saham yang sudah naik tinggi (BBRI, BBNI, ERAA, CUAN) paling rentan profit taking dalam.

Lebih cocok untuk: swing trading dengan horizon beberapa minggu untuk BMRI, PTBA, ADRO, CPIN yang baru mulai bergerak dari fase akumulasi. Untuk BBCA dan mid-term holder saham bank yang sudah naik tinggi (BBRI, BBNI), lebih cocok hold sambil pasang trailing stop daripada nambah posisi baru.

Beberapa level untuk pertimbangan scale-in (bukan area ideal, DYOR): BMRI di sekitar 4.320-4.360; PTBA di sekitar 2.830-2.860; ADRO di sekitar 2.650-2.700; CPIN di sekitar 3.050-3.120.

Beberapa level target take profit bertahap: BMRI 4.520 lalu 4.730-4.880; PTBA 2.960 lalu ke atasnya; ADRO 2.960-2.970; CPIN mengikuti struktur breakout lanjutan menuju resistance berikutnya.

6️⃣ INSIGHT TAMBAHAN DARI PROFESIONAL MARKET

Prinsip Wyckoff — pola rotasi BMRI hari ini adalah contoh klasik fase re-akumulasi di dalam sektor yang sudah uptrend: ketika leader (BBRI, BBNI) sudah markup jauh, smart money biasanya berpindah ke laggard yang valuasinya masih relatif diskon.

Prinsip trend following — untuk sektor batu bara (PTBA, ADRO, AADI), pola higher-high/higher-low yang terbentuk beberapa kali gagal breakout sebelum akhirnya tembus biasanya justru memperkuat validitas breakout tersebut, karena level resistance sudah ""diuji"" berulang kali sebelum ditembus dengan volume besar.

Psikologi market — hindari FOMO mengejar saham yang sudah naik >20-30% dari bottom (BBRI, BBNI, ERAA). Data menunjukkan investor yang telat masuk di harga sudah mahal biasanya jadi pihak yang menyediakan likuiditas keluar untuk yang sudah profit duluan.

7️⃣ KESIMPULAN STRATEGIS HARI INI

Market ini masuk kategori Selektif, dengan bias net bullish. Bukan saatnya agresif all-in karena ada risiko global yang cukup besar dari lonjakan yield obligasi dan penantian NFP, tapi juga bukan saatnya wait and see total karena akumulasi asing domestik di saham-saham fundamental bagus (terutama BMRI, PTBA, ADRO, CPIN) masih sangat solid. Fokus ke saham yang baru mulai bergerak dari fase akumulasi, hindari kejar saham yang sudah ekstensi tinggi, dan siapkan mental untuk volatilitas tambahan menjelang FOMC 17 September.

⚠️ Disclaimer: Analisis ini disusun untuk kebutuhan Swing Trading dan Mid-Term Investing yang berfokus pada pergerakan harga beberapa hari hingga beberapa bulan. Bukan rekomendasi Day Trading atau Scalping. Bukan ajakan beli/jual instan. Tidak bertujuan mencari cuan harian atau memprediksi setiap pergerakan intraday. Selalu lakukan riset mandiri (DYOR) dan gunakan manajemen risiko.",alamtri adaro alasan re akumulasi asing yang kuat setelah shakeout ritel beberapa hari sebelumnya pola klasik gocekan asing untuk kumpulkan barang di harga bawah risk reward tergolong baik sekitar 1 2 dengan support di 2 650 dan target bertahap ke 2 960 2 970 katalis sama dengan ptba yaitu reli harga batu bara dengan tambahan bahwa gap down lama yang belum tertutup memberi ruang upside tambahan jika tren berlanjut 4 cpin charoen pokphand alasan breakout resistance 3 120 ma50 dengan volume dan net buy asing besar menjadikannya top gainer lq45 sektor poultry jarang jadi sorotan bandarmology sebesar ini jadi ketika terjadi biasanya menandakan minat institusi yang genuine bukan sekadar euforia sesaat 5 bbca bank central asia alasan bagian dari tema rotasi perbankan yang sama dengan bmri dengan breakout tipis di atas 6 725 dan net buy asing konsisten harian valuasinya memang sudah lebih mahal dibanding bmri sehingga ruang upside secara persentase lebih terbatas tapi historically bbca salah satu yang paling konsisten diakumulasi ketika asing kembali ke indonesia 5 strategi praktis saya skenario terbaik yield obligasi global mereda data nfp jumat ini tidak terlalu kuat mendukung the fed lebih dovish asing terus masuk ke saham saham fundamental bagus ihsg bisa menutup gap ke 6 733 6 858 dan rotasi dari big bank leader ke laggard bmri serta sektor komoditas terus berlanjut skenario terburuk yield global terus naik tajam memicu capital outflow dari emerging market ditambah data nfp yang kuat membuat ekspektasi suku bunga the fed naik ihsg bisa terkoreksi ke area support 6 551 6 454 dan saham saham yang sudah naik tinggi bbri bbni eraa cuan paling rentan profit taking dalam lebih cocok untuk swing trading dengan horizon beberapa minggu untuk bmri ptba adro cpin yang baru mulai bergerak dari fase akumulasi untuk bbca dan mid term holder saham bank yang sudah naik tinggi bbri bbni lebih cocok hold sambil pasang trailing stop daripada nambah posisi baru beberapa level untuk pertimbangan scale in bukan area ideal dyor bmri di sekitar 4 320 4 360 ptba di sekitar 2 830 2 860 adro di sekitar 2 650 2 700 cpin di sekitar 3 050 3 120 beberapa level target take profit bertahap bmri 4 520 lalu 4 730 4 880 ptba 2 960 lalu ke atasnya adro 2 960 2 970 cpin mengikuti struktur breakout lanjutan menuju resistance berikutnya 6 insight tambahan dari profesional market prinsip wyckoff pola rotasi bmri hari ini adalah contoh klasik fase re akumulasi di dalam sektor yang sudah uptrend ketika leader bbri bbni sudah markup jauh smart money biasanya berpindah ke laggard yang valuasinya masih relatif diskon prinsip trend following untuk sektor batu bara ptba adro aadi pola higher high higher low yang terbentuk beberapa kali gagal breakout sebelum akhirnya tembus biasanya justru memperkuat validitas breakout tersebut karena level resistance sudah diuji berulang kali sebelum ditembus dengan volume besar psikologi market hindari fomo mengejar saham yang sudah naik 20 30 dari bottom bbri bbni eraa data menunjukkan investor yang telat masuk di harga sudah mahal biasanya jadi pihak yang menyediakan likuiditas keluar untuk yang sudah profit duluan 7 kesimpulan strategis hari ini market ini masuk kategori selektif dengan bias net bullish bukan saatnya agresif all in karena ada risiko global yang cukup besar dari lonjakan yield obligasi dan penantian nfp tapi juga bukan saatnya wait and see total karena akumulasi asing domestik di saham saham fundamental bagus terutama bmri ptba adro cpin masih sangat solid fokus ke saham yang baru mulai bergerak dari fase akumulasi hindari kejar saham yang sudah ekstensi tinggi dan siapkan mental untuk volatilitas tambahan menjelang fomc 17 september disclaimer analisis ini disusun untuk kebutuhan swing trading dan mid term investing yang berfokus pada pergerakan harga beberapa hari hingga beberapa bulan bukan rekomendasi day trading atau scalping bukan ajakan beli jual instan tidak bertujuan mencari cuan harian atau memprediksi setiap pergerakan intraday selalu lakukan riset mandiri dyor dan gunakan manajemen risiko,neutral,bullish,0.92,negation,repost jurnal market — FP lexicon ('naik' = IHSG bukan ADRO),
16,35469741,TLKM,$TLKM IHSG naik dia gerak jalan IHSG turun ikut ndolosor,ihsg naik dia gerak jalan ihsg turun ikut ndolosor,bearish,neutral,0.0,bull_bear,lemah dua arah,bearish
17,35471743,TLKM,$TLKMZPCV6A angkat anaknya ndar 🚀 $TLKM,zpcv6a angkat anaknya ndar,bullish,neutral,0.0,no_hit,angkat anaknya,bullish
18,35472329,ADRO,"jgn takut $TEBE $ADRO $BYAN
https://www.kabarbursa.com/market-hari-ini/ihsg-tancap-gas-ke-level-6700-deretan-saham-ini-jadi-motor-penggerak",,bullish,neutral,0.0,no_hit,'jgn takut' = reassurance,bullish
19,35472355,INCO,$INCO tunjukan pesonamu,tunjukan pesonamu,bullish,neutral,0.0,no_hit,harap perform,bullish
20,35472412,BBCA,$BBCA Ayolah bca jemput 7000 ku sudah setahun ngekos wkwkwkwk,ayolah bca jemput 7000 ku sudah setahun ngekos wkwkwkwk,neutral,neutral,0.0,no_hit,"stuck 1 thn, tanpa arah",bullish
21,35474292,BBCA,"Bandar Saham adalah pihak bermodal raksasa (institusi atau individu) yang volume transaksinya sangat besar sehingga mampu mengendalikan dan menggerakkan arah harga suatu emiten.

Sisi Baik (Peran Positif)

Penyedia Likuiditas: Memastikan saham tersebut ramai dan aktif. Pesanan beli dan jual selalu tersedia, sehingga investor ritel mudah mencairkan sahamnya menjadi uang kapan saja.

Pencipta Tren: Menjadi motor penggerak harga. Tanpa mereka, sebuah saham bisa stagnan atau ""tidur"" bertahun-tahun sehingga tidak memberikan peluang keuntungan.

Sisi Buruk & Realita Manipulasi Pasar

Motif Keuntungan Sepihak: Banyak bandar (terutama di saham-saham lapis ketiga) yang tujuannya murni mencari untung dari kerugian orang lain dengan cara memanipulasi harga, atau biasa disebut ""menggoreng saham"".

Skema Pump and Dump: Mereka memanipulasi pasar dengan memborong saham agar harganya naik tajam dan terlihat menarik. Tujuannya memancing euforia dan keserakahan (FOMO) investor ritel agar ikut membeli.

Menjebak Investor Ritel: Saat investor kecil berbondong-bondong masuk di harga puncak, bandar langsung menjual seluruh kepemilikan sahamnya secara masif (buang barang). Akibatnya, harga langsung anjlok parah dan investor ritel terjebak kerugian besar (""nyangkut"" atau ""cuci piring"").

$IHSG $BBCA $TLKM",,neutral,neutral,0.0,bull_bear,edukasi bandar,neutral
22,35475629,GOTO,"$GOTO $IHSG
TOLONG RAMAIKAN, BIAR BANDAR LIHAT INI
WKWKWKWK",,neutral,neutral,0.0,no_hit,,bullish
23,35476544,BMRI,$BMRI disabari aja paling Senin/Selasa nanti semoga sdh ada info cum date 66rupiahnya,disabari aja paling senin selasa nanti semoga sdh ada info cum date 66rupiahnya,neutral,neutral,0.0,no_hit,nunggu cum date,bullish
24,35477689,INCO,"Rupiah makin menguat vs USD, sekarang @17,620 IDR/USD, terkuat dalam 5 bulan terakhir. Ayo...mari bayar utang USD 🤫
$INCO $MAPI",rupiah makin menguat vs usd sekarang 17 620 idr usd terkuat dalam 5 bulan terakhir ayo mari bayar utang usd,neutral,neutral,0.0,no_hit,joke makro,neutral
25,35477754,BUMI,$BUMI rawat inap dulu Minggu ini karna ga mungkin beli ijo jual merah,rawat inap dulu minggu ini karna ga mungkin beli ijo jual merah,neutral,neutral,0.0,bull_bear,,bearish
26,35477956,BUMI,"$DSSA $BUMI yng lain merah, duo ini sisiran cantik dulu",yng lain merah duo ini sisiran cantik dulu,bearish,bearish,-1.0,bull_bear,'sisiran' = diturunin,
27,35478688,ADRO,"Inget kebanyakan AIUEO nanti ketinggalan kereta nangis loh
Invest yg yg mudah dipelajari aja

Dilihat dari table pun msh OK
PE DER EV

 $BSSR
Tag $ADRO $ITMG",,bullish,neutral,0.0,no_hit,fundamental masih OK,neutral
28,35478929,BMRI,CUMAN SAHAM $BMRI YANG BERANI KASIH DIVIDEN 3X DALAM 1 TAHUN DI 2026. MANTAP GA TUH. CUAN CUAN CUAN.,cuman saham yang berani kasih dividen 3x dalam 1 tahun di 2026 mantap ga tuh cuan cuan cuan,bullish,bullish,0.5,negation,,
29,35479520,UNTR,"$UNTR 03 Sep 26
Investor: UNITED TRACTORS
Action: BUY
Shares Traded: +386,400 (+0.0104%)
Current: 286,469,500 (7.6799%)
Previous: 286,083,100 (7.6695%)
Broker: -
Investor Type: Domestic
Source: KSEI",03 sep 26 investor united tractors action buy shares traded 386 400 0 0104 current 286 469 500 7 6799 previous 286 083 100 7 6695 broker investor type domestic source ksei,neutral,bullish,1.0,bull_bear,repost data KSEI — FP ('BUY' milik broker),
30,35479837,BBCA,"@senji93 Koreksi sehat 🤭. 


Rt $IHSG $BBRI $BBCA",,bullish,neutral,0.0,bull_bear,'koreksi sehat' = bullish spin,neutral
31,35480072,BBRI,$BBRI naik ngesot turun longsor 😭,naik ngesot turun longsor,bearish,neutral,0.0,bull_bear,naik ngesot turun longsor — lexicon cancel,bearish
32,35480084,BBRI,"$NPGF izin di pantau ya gaes ya🤫, nitip dong $BIPI $BBRI",,neutral,neutral,0.0,no_hit,,neutral
