id,headline,summary,tickers,label,label_pred,denial_hits,matched_keywords,source,published,bucket,notes
16,JP Morgan: Minimum harga saham Rp1 akan tingkatkan likuiditas pasar RI,J.P. Morgan Indonesia menilai rencana penyesuaian batas minimum harga saham yang diperdagangkan di pasar reguler dan ...,,non_material,non_material,,,ANTARA Bursa,,plain,
17,OJK batasi kepemilikan BEI usai demutualisasi maksimal 5 persen,Otoritas Jasa Keuangan (OJK) bakal membatasi kepemilikan saham atas Bursa Efek Indonesia (BEI) usai demutualisasi ...,,non_material,non_material,,,ANTARA Bursa,,plain,
18,JP Morgan Indonesia proyeksi IHSG ke level 7.000 di akhir 2026,"J.P. Morgan Indonesia memproyeksikan Indeks Harga Saham Gabungan (IHSG) dapat mencapai level 7.000 pada Desember 2026, ...",,non_material,non_material,,,ANTARA Bursa,,plain,
19,OJK targetkan aturan demutualisasi BEI terbit September ini,Otoritas Jasa Keuangan (OJK) menargetkan Peraturan OJK (POJK) yang mengatur demutualisasi Bursa Efek Indonesia (BEI) ...,,non_material,non_material,,,ANTARA Bursa,,plain,
20,"IHSG Kamis dibuka menguat 37,05 poin ke posisi 6.632","Indeks Harga Saham Gabungan (IHSG) Bursa Efek Indonesia (BEI) pada Kamis pagi dibuka menguat 37,05 poin atau 0,56 ...",,non_material,non_material,,,ANTARA Bursa,,plain,
21,WIKA Realty via Danantara Housing Expo jaring 8.000 konsumen potensial,"PT Wijaya Karya Realty (WIKA Realty) menyatakan bahwa melalui Danantara Housing Expo 2026, berhasil menjaring lebih ...",,non_material,non_material,,,ANTARA Bursa,,plain,
22,"Harga minyak dunia naik, apa dampaknya bagi Indonesia?",Harga minyak dunia kembali bergerak naik pada akhir Agustus 2026 di tengah ketegangan geopolitik dan risiko gangguan ...,,non_material,non_material,,,ANTARA Bursa,,plain,
23,IHSG ditutup melemah ikuti Asia tertekan kenaikan harga minyak global,Indeks Harga Saham Gabungan (IHSG) Bursa Efek Indonesia (BEI) pada Rabu sore ditutup turun mengikuti pelemahan bursa ...,,non_material,non_material,,,ANTARA Bursa,,plain,
24,BEI terima surat penundaan IPO dari perusahaan milik kampus UGM,PT Bursa Efek Indonesia (BEI) menyatakan telah menerima surat permohonan penundaan pelaksanaan Initial Public Offering ...,,non_material,material,,ipo,ANTARA Bursa,,keyword_hit,"HARD NEGATIVE: IPO-nya perusahaan UGM, bukan emiten terkait — pred FP"
25,Pemkot Bandung gelar pasar murah di 30 kecamatan kendalikan inflasi,"Pemerintah Kota (Pemkot) Bandung, Jawa Barat, menggelar pasar murah di 30 kecamatan sebagai salah satu upaya menjaga ...",,non_material,non_material,,,ANTARA Bursa,,plain,
26,Mirae Asset nilai akumulasi asing di bank besar topang penguatan IHSG,"PT Mirae Asset Sekuritas Indonesia menilai, penguatan Indeks Harga Saham Gabungan (IHSG) didukung oleh kembalinya ...",,non_material,non_material,,,ANTARA Bursa,,plain,
27,LPS sasar Lampung guna atasi masalah literasi penjaminan yang rendah,Lembaga Penjamin Simpanan (LPS) menggelar kegiatan Lampung Financial Festival (Finfest 2026) di Bandarlampung Provinsi ...,,non_material,non_material,,,ANTARA Finansial,,plain,
28,RSUD Kota Bogor bidik pembiayaan non-APBD lewat WJIC 2026,"Pemerintah Kota Bogor, Jawa Barat, membidik skema pembiayaan alternatif di luar APBD untuk pengembangan RSUD Kota Bogor ...",,non_material,non_material,,,ANTARA Finansial,,plain,
29,Deputi BI pesan Kepala BI Banten baru perkuat peran mitra strategis,"Deputi Gubernur Bank Indonesia (BI) Thomas A.M. Djiwandono, menyampaikan pesan kepada Kepala Perwakilan BI Provinsi ...",,non_material,non_material,,,ANTARA Finansial,,plain,
30,BTN tunggu aturan dari BP Tapera untuk jalankan FLPP tenor 40 tahun,PT Bank Tabungan Negara (Persero) Tbk (BTN) menunggu peraturan pelaksana dari Badan Pengelola Tabungan Perumahan ...,,material,non_material,,,ANTARA Finansial,,plain,aturan FLPP tenor 40 th = driver bisnis inti BTN — pred gak nangkep
31,BI dongkrak perekonomian syariah Banyumas Raya dengan Selaras 2026,"ANTARA - Kantor Perwakilan Bank Indonesia (KPwBI) Purwokerto, Jawa Tengah, menggelar Semarak Festival Ekonomi Syariah ...",,non_material,non_material,,,ANTARA Finansial,,plain,
32,"Ada atau tak ada SAL, BTN jaga LDR pada kisaran 92-95 persen",PT Bank Tabungan Negara (Persero) Tbk (BTN) menyatakan perseroan tetap menjaga loan to deposit ratio (LDR) pada kisaran ...,,non_material,non_material,,,ANTARA Finansial,,plain,
33,Gubernur NTB: APBD-P 2026 difokuskan Sade hingga penguatan ekonomi,Gubernur Nusa Tenggara Barat (NTB) Lalu Muhamad Iqbal menegaskan bahwa APBD-Perubahan tahun 2026 difokuskan pada ...,,non_material,non_material,,,ANTARA Finansial,,plain,
34,Indonesia proyeksi UMKM tembus pasar Eropa lewat mekanisme IEU-CEPA,ANTARA - Deputi II Bidang Koordinasi Kerja Sama Ekonomi dan Investasi Kemenko Perekonomian Edi Prio Pambudi ...,,non_material,non_material,,,ANTARA Finansial,,plain,
35,"RUPSLB BTN sepakati perubahan lima direksi, dewan komisaris tetap",Rapat Umum Pemegang Saham Luar Biasa (RUPSLB) PT Bank Tabungan Negara (Persero) Tbk pada Jumat menyepakati perubahan ...,,non_material,non_material,,,ANTARA Finansial,,plain,
36,Ketua BPK bertemu para ketua SAIs anggota MIKTA,Ketua Badan Pemeriksa Keuangan (BPK) Isma Yatun melakukan pertemuan dengan para ketua lembaga pemeriksa atau Supreme ...,,non_material,non_material,,,ANTARA Finansial,,plain,
37,BPK: Kejaksaan catatkan penyelamatan keuangan negara sangat signifikan,Badan Pemeriksa Keuangan (BPK) mengungkapkan bahwa Kejaksaan Agung mencatatkan pemulihan dan penyelamatan keuangan ...,,non_material,non_material,,,ANTARA Finansial,,plain,
38,"BPKP: Anggaran dalam RKA 2027 sebesar Rp2,19 triliun",Kepala Badan Pengawasan Keuangan dan Pembangunan (BPKP) Muhammad Yusuf Ateh menyatakan anggaran yang tercantum Rencana ...,,non_material,non_material,,,ANTARA Finansial,,plain,
39,Studi sebut 54 persen kredit Kredivo di 2025 buat kebutuhan produktif,Studi Lembaga Demografi Fakultas Ekonomi dan Bisnis Universitas Indonesia (LD FEB UI) bersama Kredivo Group mencatat ...,,non_material,non_material,,,ANTARA Finansial,,plain,
40,Anggota MKKE BPK: Integritas jadi fondasi utama jaga kehormatan BPK,Anggota Majelis Kehormatan Kode Etik (MKKE) Badan Pemeriksa Keuangan (BPK) Budi Prijono menyatakan integritas merupakan ...,,non_material,non_material,,,ANTARA Finansial,,plain,
